EPL-IN,GC,M/TC,OSs,PGC,Genes
0.0,0.00017028675412119807,0.0,0.0,0.0008405277389249852,Clec10a
0.0,0.001308850239029487,0.0,0.0,0.0006575445587714118,Clec12b
0.0,0.0012201044420710474,0.004794197891438659,0.0,0.0016960123402244536,Clec14a
0.04362648128571429,0.0003727602084977943,0.0015611651491615182,0.0,0.01692638571825162,Clec18a
0.026272254658385095,0.037114994359414906,0.00606020098940865,0.0020363933275000003,0.0038015102244536325,Clec1a
0.028559536254658388,0.001225287268980729,0.0028183990785525157,0.0021304157183333334,0.0027319698381571174,Clec3b
0.0,0.0006734672912700256,0.0011796431729920564,0.0017042007966666666,0.0,Clec4a1
0.06806037603726708,0.009856511492918501,0.04694269759664607,0.04168064721833334,0.018316689012994686,Clgn
0.07793033372049689,0.06855394315556072,0.2650665381729922,0.049915503567500005,0.08219514146721794,Clic1
0.0,0.0008388361034362664,0.0,0.00571273142,0.0,Clic3
0.026469668385093167,0.00226743459507778,0.0034805961862312447,0.002441794185,0.0010089497324276434,Clic5
0.0,0.0005802372306710007,0.0018054960847308033,0.007175204139166666,0.004746558225634967,Clic6
0.07484397003726707,0.02837426374204783,0.2799802994051192,0.0101342967675,0.06673254806142942,Clmp
0.0,0.0013176104192013003,0.0,0.0,0.0,Clspn
2.020746065614906,0.5237299078548876,1.5367921466584302,0.12219409577666665,0.5997082262220906,Clstn1
0.27472128264596274,0.1000287860724403,0.4833848279858786,0.024272788146666665,0.0857215025121087,Clstn2
1.5584800367267082,0.25164401365776595,1.0351273250238306,0.04592337806500001,0.22500072855463688,Clstn3
0.0,0.004249098474576271,0.0,0.0024036230358333334,0.002234629680448907,Cmah
0.016615404857142857,0.0017652659232644534,0.009904842605472197,0.0021249526066666664,0.0034615418257531007,Cmklr1
0.0,0.00044456123543069426,0.0012847835172109445,0.002226094678333333,0.0009996587590076788,Cml5
0.028259344453416147,0.008956298491409331,0.01662294981818182,0.010371445705833334,0.012750311453632606,Cmpk2
0.0,0.017090975615393543,0.057618258745807574,0.03707206058083333,0.013931265469580626,Cmtm6
0.02689495955900621,0.008026448392732762,0.011034510548102384,0.004546761765000001,0.0030312494920259896,Cmtm7
0.0,0.0024822183108892497,0.017370554503971753,0.0063602857725,0.0009968910513880685,Cmtm8
0.014129211621118012,0.025734618134432327,0.006286208627537511,0.0024334489316666665,0.013824203720614296,Cndp1
0.0,0.0017073460003482702,0.00312537093380406,0.027808318158333338,0.0009990183839338452,Cnga2
0.0,0.0007575244101462735,0.0,0.004837326848333333,0.0014560344636739516,Cnga4
0.0,0.0022247064911771535,0.0008510692038834951,0.0127271031,0.0,Cngb1
